station_id,actual_mean,predicted_mean,mae,bias,interval_width,coverage,station_lat,station_lng,val_mean,val_sum
3651.04,1.6666666666666667,0.6678751043752224,0.9988331638208668,-0.9987915622914443,2.4913543820894497,0.6666666666666666,40.661064,-73.979454,2.3988094,403.0
4395.07,1.1666666666666667,0.5733109730887614,0.9160109428194119,-0.5933556935779052,2.318304979240755,0.6666666666666666,40.685066,-73.977905,2.6011906,437.0
5001.08,0.0,0.00026116867051465914,0.00026116867051465914,0.00026116867051465914,0.7690400293019438,0.0,40.705692,-74.01678,1.6369047,275.0
5125.03,0.3333333333333333,0.063657547050146,0.2716794601037691,-0.26967578628318734,1.4923563053928273,0.3333333333333333,40.71045,-73.96088,1.9702381,331.0
5184.08,0.3333333333333333,0.0006111005071235039,0.3339438524223423,-0.33272223282620983,1.5265306362981474,0.0,40.711445,-74.01485,2.8690476,482.0
5204.05,1.0,0.28294456404122076,0.850710664209449,-0.7170554359587792,1.6925248727542292,0.3333333333333333,40.71286,-73.965904,2.0952382,352.0
5207.01,0.8333333333333334,0.0010350363709979622,0.8337655943345604,-0.8322982969623354,1.4902229347774316,0.16666666666666666,40.712734,-74.00461,3.1309524,526.0
5216.06,0.6666666666666666,0.07882246385922069,0.5880473309969906,-0.587844202807446,1.2859236831416598,0.3333333333333333,40.71222,-74.010475,2.357143,396.0
5235.05,0.5,0.3804010537423892,0.6959125045347415,-0.1195989462576108,1.755280023234718,0.16666666666666666,40.712605,-73.96265,1.6785715,282.0
5294.04,0.5,0.32287745889819536,0.2741222179902252,-0.17712254110180461,1.7455264817350553,0.3333333333333333,40.71421,-73.981094,3.297619,554.0
5297.02,0.16666666666666666,0.07766620260865469,0.24432178382153857,-0.08900046405801199,1.104318602012743,0.0,40.71534,-74.01659,2.0952382,352.0
5303.06,1.8333333333333333,0.587461915854874,1.2461285008254588,-1.2458714174784593,2.069233465042871,0.3333333333333333,40.715595,-73.98703,4.3154764,725.0
5303.08,2.5,0.929893532874606,1.5702291259367485,-1.5701064671253941,3.1160184749927944,0.6666666666666666,40.714275,-73.9899,3.4642856,582.0
5308.04,1.0,0.44243691116935224,0.9162133274015408,-0.5575630888306478,2.0424186364496726,0.5,40.715347,-73.96024,2.452381,412.0
5329.03,0.0,2.319402708591194e-15,2.319402708591194e-15,2.319402708591194e-15,1.474506168044074e-09,0.0,40.71755,-74.01322,2.9940476,503.0
5342.10,2.0,0.5090047225457965,1.491040132457177,-1.4909952774542035,2.306113140765111,0.5,40.716057,-73.991905,2.1785715,366.0
5348.02,0.6666666666666666,0.2792127657191183,0.3875817386563843,-0.3874539009475484,1.7084103480492026,0.5,40.71689,-73.963196,2.2916667,385.0
5374.01,1.6666666666666667,1.1759570081048878,0.9920984467850454,-0.4907096585617789,3.302774826457835,0.8333333333333334,40.717228,-73.98802,3.2857144,552.0
5379.10,0.6666666666666666,0.46462247876115725,0.5380201184367858,-0.2020441879055094,2.1693214821245306,0.3333333333333333,40.717453,-73.95851,2.5714285,432.0
5382.06,2.3333333333333335,0.8901989197264205,1.5130799295567765,-1.4431344136069129,2.949956157612037,0.5,40.718822,-73.99596,4.0238094,676.0
5382.07,1.6666666666666667,0.5405131266458435,1.2296131366547343,-1.1261535400208231,2.4090556365624614,0.8333333333333334,40.717796,-73.993164,3.5714285,600.0
5414.06,0.6666666666666666,0.4120032560628412,0.5510564815801141,-0.25466341060382547,2.1073141067525967,0.16666666666666666,40.720196,-73.989975,2.4166667,406.0
5445.02,0.3333333333333333,0.3708579557399692,0.3657118595898889,0.0375246224066359,1.8710285007715015,0.3333333333333333,40.720665,-73.985176,2.5833333,434.0
5470.12,0.0,0.015582716240267894,0.015582716240267894,0.015582716240267894,0.6064673695541525,0.0,40.720196,-74.0103,1.875,315.0
5476.03,0.8333333333333334,0.450710997756687,0.986247541688499,-0.3826223355766463,2.016735940435448,0.16666666666666666,40.720875,-73.98086,2.0654762,347.0
5484.09,0.6666666666666666,0.6015234109460531,0.7142064687310873,-0.06514325572061352,2.3317313479093023,0.3333333333333333,40.722054,-73.98911,2.6190476,440.0
5489.03,0.0,1.5325499250004823e-10,1.5325499250004823e-10,1.5325499250004823e-10,2.213235248687185e-06,0.0,40.720367,-73.96165,1.9285715,324.0
5492.05,2.0,0.5373211515258541,1.6185837686067923,-1.4626788484741458,2.425327786681347,0.3333333333333333,40.722103,-73.997246,3.8630953,649.0
5515.02,1.1666666666666667,0.5011001578980844,1.068940803208534,-0.6655665087685824,2.2538083554466937,0.5,40.722176,-73.98369,2.5654762,431.0
5523.02,0.16666666666666666,0.3635570179030765,0.3408790797596642,0.19689035123640983,1.8302991370914583,0.16666666666666666,40.722294,-73.99148,1.7261904,290.0
5553.10,1.3333333333333333,0.7341462333303449,0.8057624539433164,-0.5991871000029884,2.579520510798526,0.8333333333333334,40.723076,-73.98584,2.5952382,436.0
5561.04,1.1666666666666667,0.36252616133424453,1.0641489720728714,-0.8041405053324221,1.8611580069241047,0.3333333333333333,40.72318,-73.9948,2.1130953,355.0
5561.06,0.0,3.7463211884886833e-16,3.7463211884886833e-16,3.7463211884886833e-16,2.958921975935311e-14,0.0,40.72456,-73.99565,2.047619,344.0
5593.01,1.5,0.8841483085416257,0.7864051098003983,-0.6158516914583743,2.953793116410528,0.6666666666666666,40.723354,-73.98865,2.8869047,485.0
5593.04,2.5,0.9588956156997787,1.5428046305605676,-1.5411043843002215,3.023679273543318,0.3333333333333333,40.72628,-73.98978,2.5059524,421.0
5610.09,0.8333333333333334,0.3202783447292556,0.7848738351749489,-0.5130549886040777,1.805164912410002,0.3333333333333333,40.72431,-74.00473,1.9761904,332.0
5626.07,0.5,1.0772844085392232,0.9102377257077023,0.5772844085392231,3.3288587177889895,0.5,40.72622,-73.983795,2.625,441.0
5626.15,1.1666666666666667,0.8876390104996972,1.6235994196225267,-0.2790276561669695,2.960357382821144,0.0,40.72633,-73.98617,3.3988094,571.0
5636.11,1.1666666666666667,0.4812161626426435,0.685493057172304,-0.6854505040240232,2.1524897922395567,0.5,40.727436,-73.99379,2.9404762,494.0
5653.12,0.6666666666666666,0.0069689646443293896,0.6633384426374201,-0.6596977020223372,1.4652533607738292,0.16666666666666666,40.72584,-74.00765,1.4226191,239.0
5659.05,0.5,0.05428247464442393,0.5511979503377612,-0.44571752535557607,1.7397503270198438,0.3333333333333333,40.72741,-73.98142,2.3392856,393.0
5669.10,1.8333333333333333,0.7946713131156381,1.0867719095125115,-1.0386620202176953,2.9518773163738437,0.6666666666666666,40.72842,-73.98714,2.9761906,500.0
5679.08,1.3333333333333333,0.5729827843175977,1.0883853790928697,-0.7603505490157355,2.339244221787529,0.3333333333333333,40.726154,-73.9951,2.357143,396.0
5687.04,0.3333333333333333,0.28536284577906673,0.44586051118434017,-0.04797048755426658,1.6459392997031064,0.16666666666666666,40.727104,-74.00297,1.9940476,335.0
5696.03,0.0,1.7632587147595554e-14,1.7632587147595554e-14,1.7632587147595554e-14,1.5799564542346179e-09,0.0,40.727715,-74.0113,0.0,0.0
5712.03,1.1666666666666667,0.7684469375041468,1.1712350699526723,-0.3982197291625198,2.9145727164603272,0.3333333333333333,40.729515,-73.99075,1.9523809,328.0
5721.01,0.6666666666666666,0.5891816750712072,0.38042632952177274,-0.07748499159545948,2.492261132651796,0.6666666666666666,40.730476,-73.99906,1.9404762,326.0
5721.07,1.1666666666666667,0.6538830638746731,0.8394436479429714,-0.5127836027919935,2.46685915037286,0.5,40.7284,-73.99969,2.1369047,359.0
5721.14,0.6666666666666666,0.3053724940594596,0.437032029304343,-0.36129417260720703,1.6793013465414977,0.6666666666666666,40.72917,-73.9981,1.6071428,270.0
5730.08,0.5,0.39767956947495503,0.5308387543154822,-0.10232043052504498,2.0639191859237087,0.3333333333333333,40.728848,-74.00859,1.3690476,230.0
5736.09,0.8333333333333334,0.6316414639780609,0.663206991875389,-0.2016918693552725,2.244937121330698,0.6666666666666666,40.729385,-73.97772,2.6011906,437.0
5746.02,0.3333333333333333,0.3604003042394955,0.5223393723936169,0.02706697090616217,1.9424609722582697,0.3333333333333333,40.72971,-73.986595,2.1845238,367.0
5746.14,0.5,0.4349515645953943,0.8016978467615749,-0.0650484354046057,1.8794403884703001,0.16666666666666666,40.729538,-73.98427,2.3809524,400.0
5755.01,0.6666666666666666,0.10334624513113037,0.62326301652926,-0.5633204215355363,1.4571007379062735,0.3333333333333333,40.72904,-73.99405,1.4821428,249.0
5755.09,0.3333333333333333,0.004647039679336255,0.3295580018379951,-0.3286862936539971,1.4207678018523968,0.3333333333333333,40.730495,-73.99572,0.82738096,139.0
5755.14,0.3333333333333333,0.5858406832121545,0.26038140160865925,0.25250734987882123,2.327524708765035,0.3333333333333333,40.731438,-73.9949,1.4880953,250.0
5763.03,0.0,9.885599987000269e-17,9.885599987000269e-17,9.885599987000269e-17,8.009382574664437e-14,0.0,40.730385,-74.00215,0.0,0.0
5779.08,2.0,1.0293263186564825,1.278839984491545,-0.9706736813435176,3.1009796145853366,0.16666666666666666,40.73222,-73.98166,3.0119047,506.0
5779.09,1.1666666666666667,0.29264779520599404,0.875288086363677,-0.8740188714606726,1.5558640854173216,0.5,40.729668,-73.98068,1.6964285,285.0
5779.10,0.8333333333333334,0.6933021202761059,0.4172756130574271,-0.14003121305722743,2.463096943371435,0.5,40.73139,-73.982864,2.75,462.0
5779.11,2.0,0.8175909184174088,1.6282540100061549,-1.1824090815825912,3.0025186191333284,0.3333333333333333,40.730312,-73.98047,3.6309524,610.0
5788.13,0.5,0.5910483610855408,0.8077170305570386,0.09104836108554082,2.7268450681359595,0.16666666666666666,40.730206,-73.99103,3.172619,533.0
5788.15,1.1666666666666667,0.6747262643875729,0.8780880851930609,-0.4919404022790938,2.5777487299204296,0.5,40.732647,-73.99011,2.732143,459.0
5788.16,0.6666666666666666,0.00023748290853594275,0.6665868379501868,-0.6664291837581308,0.9338408238044735,0.3333333333333333,40.73127,-73.98849,1.4821428,249.0
5805.07,1.3333333333333333,0.30714185039081104,1.247226780657608,-1.0261914829425223,1.8046925749023046,0.16666666666666666,40.73214,-74.00364,2.0,336.0
5820.08,0.5,0.7095001676983278,0.3966506659295798,0.20950016769832777,2.569366620263016,0.3333333333333333,40.73154,-73.985306,2.5238094,424.0
5838.09,0.8333333333333334,0.48016240021024714,0.6155857227289138,-0.3531709331230862,2.1394105212271675,0.5,40.732243,-74.00027,2.3392856,393.0
5847.01,0.16666666666666666,0.04888469711446911,0.11961012815936556,-0.11778196955219755,1.4168029359108896,0.16666666666666666,40.732914,-74.00711,2.1547618,362.0
5854.09,0.5,0.7028975622961298,0.23293792576684305,0.20289756229612976,2.5196154279641783,0.5,40.73381,-73.980545,3.375,567.0
5863.07,0.0,0.25506387527760427,0.25506387527760427,0.25506387527760427,1.7692120325828664,0.0,40.734234,-73.98692,1.8869047,317.0
5880.02,0.5,0.5452158664508412,0.13307102668719986,0.045215866450841226,2.43325380415407,0.5,40.734013,-74.00294,2.702381,454.0
5886.13,1.6666666666666667,0.4782844999014439,1.4974931075679099,-1.1883821667652228,2.070723408593892,0.16666666666666666,40.733208,-73.975685,2.8392856,477.0
5905.12,0.0,1.096220916775234e-11,1.096220916775234e-11,1.096220916775234e-11,1.2897129934929235e-06,0.0,40.734547,-73.99074,3.9166667,658.0
5905.14,3.5,1.1170761054280167,2.544732219529427,-2.382923894571983,4.1165227335466925,0.3333333333333333,40.734814,-73.99209,5.0119047,842.0
5914.03,0.8333333333333334,0.3490350256330809,0.6881942957606952,-0.48429830770025245,1.671017258861525,0.16666666666666666,40.735325,-73.998,2.0892856,351.0
5929.01,0.6666666666666666,0.2796476967972315,0.5116540538583649,-0.3870189698694351,1.5841279802383497,0.3333333333333333,40.736504,-73.978096,2.8095238,472.0
5938.11,0.8333333333333334,0.33051240350323496,0.7761408162938702,-0.5028209298300984,1.7384735132758824,0.16666666666666666,40.735367,-73.987976,1.5178572,255.0
5947.04,0.8333333333333334,0.3077443157962989,0.525597678827277,-0.5255890175370345,1.7699126845597206,0.6666666666666666,40.735443,-73.99431,2.1130953,355.0
5971.08,0.6666666666666666,0.15360296251795566,0.5799360621216086,-0.513063704148711,1.2167969558941725,0.16666666666666666,40.735878,-73.98205,1.9940476,335.0
5971.09,0.6666666666666666,0.3429174908299804,0.6697323410013875,-0.3237491758366862,1.6870021422753325,0.0,40.737167,-73.981224,1.9880953,334.0
5980.07,0.8333333333333334,0.8645633288830746,1.056748349578811,0.031229995549741336,2.980401048417468,0.3333333333333333,40.73705,-73.99009,3.9940476,671.0
5989.02,0.6666666666666666,0.5056010126609181,0.603946173145232,-0.1610656540057486,2.1583291593607945,0.16666666666666666,40.738045,-73.99643,3.392857,570.0
6004.06,0.5,0.0810615908952362,0.4366714994109013,-0.4189384091047638,1.5013297574207531,0.5,40.739445,-73.97681,2.922619,491.0
6022.04,0.5,0.3539642511148789,0.6971788623272914,-0.14603574888512108,1.8476039351367781,0.0,40.737263,-73.992386,2.482143,417.0
6030.04,1.0,0.5074971114784906,0.5933127355795781,-0.4925028885215094,2.1511861435305,0.6666666666666666,40.737816,-73.99995,2.1130953,355.0
6030.06,1.1666666666666667,0.31950195290604216,0.8642032112475135,-0.8471647137606245,1.8618804511762335,0.3333333333333333,40.739357,-73.99932,2.0416667,343.0
6039.06,0.8333333333333334,0.05135180216120716,0.7841648715446657,-0.7819815311721262,1.4553551187102052,0.16666666666666666,40.739323,-74.00812,2.2083333,371.0
6046.02,1.5,0.5137457250699905,0.9862542749300095,-0.9862542749300095,2.153672895804599,0.6666666666666666,40.739124,-73.97974,2.6904762,452.0
6055.08,0.6666666666666666,0.16767502825920624,0.5763528645184124,-0.4989916384074604,1.4605840506927923,0.16666666666666666,40.738274,-73.98752,1.8273809,307.0
6064.08,0.3333333333333333,0.28227776294799395,0.2088783930326675,-0.0510555703853394,1.5373809024289022,0.3333333333333333,40.73971,-73.99456,2.3690476,398.0
6072.06,0.5,0.27596707581127095,0.4111779177054207,-0.22403292418872903,1.8293801142519648,0.3333333333333333,40.739017,-74.00264,2.6904762,452.0
6072.11,1.3333333333333333,0.7600533029029369,1.1830935483406695,-0.5732800304303964,2.9580216481210706,0.5,40.740982,-74.0017,3.2440476,545.0
6079.03,1.3333333333333333,0.2456801639321687,1.0876531694011646,-1.0876531694011646,1.5158868343066654,0.5,40.741444,-73.97536,2.2380953,376.0
6089.07,0.6666666666666666,0.4747579875984229,0.5215094470380185,-0.19190867906824374,2.1408144369827844,0.3333333333333333,40.740257,-73.98409,2.3869047,401.0
6098.10,1.3333333333333333,0.5713388231891562,0.879277488665745,-0.7619945101441772,2.558392330415731,0.6666666666666666,40.739887,-73.989586,3.6130953,607.0
6098.12,1.5,0.23897764271672864,1.2610236203814036,-1.2610223572832713,1.5850635794113497,0.3333333333333333,40.738663,-73.989876,2.9107144,489.0
6115.06,0.3333333333333333,0.07188096466946566,0.40451339611945514,-0.2614523686638677,1.3118535724079134,0.0,40.74006,-74.00527,1.8154762,305.0
6122.09,2.0,0.8039752183697905,1.7211457192182327,-1.1960247816302096,2.8896578198546714,0.0,40.741722,-73.978096,2.7916667,469.0
6131.13,0.8333333333333334,0.14075874236429323,0.6929890806198576,-0.6925745909690401,1.324398789224792,0.3333333333333333,40.742752,-73.98472,1.7083334,287.0
